date,high,low,open,close,volume,adjclose
2018-03-06,157.88999938964844,155.16000366210938,157.27999877929688,155.72000122070312,3586600.0,155.72000122070312
2018-03-05,157.49000549316406,153.75,154.1199951171875,156.9499969482422,3670600.0,156.9499969482422
2018-03-02,154.75999450683594,151.8800048828125,152.7899932861328,154.49000549316406,3261100.0,154.49000549316406
2018-03-01,156.97000122070312,152.7899932861328,155.52999877929688,153.80999755859375,4039300.0,153.80999755859375
2018-02-28,158.13999938964844,155.8000030517578,157.5,155.8300018310547,3803500.0,155.8300018310547
2018-02-27,159.77999877929688,156.52999877929688,158.4600067138672,156.5500030517578,4237300.0,156.5500030517578
2018-02-26,158.8800048828125,155.50999450683594,155.80999755859375,158.5800018310547,3610300.0,158.5800018310547
2018-02-23,155.85000610351562,154.07000732421875,154.3000030517578,155.52000427246094,3256100.0,155.52000427246094
2018-02-22,155.0399932861328,152.7899932861328,154.5,153.17999267578125,4024600.0,153.17999267578125
2018-02-21,156.7899932861328,153.89999389648438,155.42999267578125,153.9600067138672,3728600.0,153.9600067138672
2018-02-20,155.9600067138672,153.8699951171875,155.7899932861328,155.16000366210938,4489600.0,155.16000366210938
2018-02-16,157.7899932861328,155.69000244140625,155.7100067138672,156.17999267578125,4282900.0,156.17999267578125
2018-02-15,156.86000061035156,153.6999969482422,155.5,156.00999450683594,5623600.0,156.00999450683594
2018-02-14,155.0,150.0,150.19000244140625,154.75999450683594,5479000.0,154.75999450683594
2018-02-13,151.17999267578125,149.63999938964844,150.89999389648438,150.75,4891000.0,150.75
2018-02-12,152.39999389648438,150.3000030517578,150.89999389648438,151.39999389648438,5881400.0,151.39999389648438
2018-02-09,150.5399932861328,144.39999389648438,148.60000610351562,149.50999450683594,7828300.0,149.50999450683594
2018-02-08,153.16000366210938,147.5,152.47999572753906,147.58999633789062,6779100.0,147.58999633789062
2018-02-07,155.33999633789062,153.27999877929688,154.1699981689453,153.85000610351562,6149200.0,152.35000610351562
