Date,Open,High,Low,Close,Adj Close,Volume
2008-01-04,15155.730469,15156.660156,14542.580078,14691.410156,14691.410156,98700.0
2008-01-07,14549.379883000001,14667.849609,14438.610352000005,14500.549805,14500.549805,139800.0
2008-01-08,14429.299805,14547.799805,14365.860352000005,14528.669922,14528.669922,146800.0
2008-01-09,14364.709961000002,14602.650391,14271.570313,14599.160156,14599.160156,155500.0
2008-01-10,14546.320313,14584.730469,14388.110352000005,14388.110352000005,14388.110352000005,130100.0
2008-01-11,14419.429688,14447.490234,14096.540038999998,14110.790038999998,14110.790038999998,175500.0
2008-01-15,14134.910156,14224.0,13915.150391,13972.629883000001,13972.629883000001,163700.0
2008-01-16,13796.730469,13841.929688,13500.589844,13504.509766,13504.509766,204500.0
2008-01-17,13596.379883000001,13803.080078,13472.450195,13783.450195,13783.450195,192900.0
2008-01-18,13577.5,13902.639647999995,13365.320313,13861.290038999998,13861.290038999998,191000.0
2008-01-21,13701.429688,13704.650391,13320.509766,13325.94043,13325.94043,152600.0
2008-01-22,13125.230469,13125.230469,12572.679688,12573.049805,12573.049805,198900.0
2008-01-23,12756.30957,13063.780273,12619.780273,12829.05957,12829.05957,178000.0
2008-01-24,12952.5,13134.769531,12952.5,13092.780273,13092.780273,189700.0
2008-01-25,13258.769531,13647.160156,13248.889648,13629.160156,13629.160156,178800.0
2008-01-28,13482.839844,13501.860352000005,13087.910156,13087.910156,13087.910156,152900.0
2008-01-29,13246.69043,13506.80957,13224.660156,13478.860352000005,13478.860352000005,147000.0
2008-01-30,13500.519531,13514.129883000001,13271.129883,13345.030273,13345.030273,152400.0
2008-01-31,13227.480469,13622.679688,13154.769531,13592.469727000005,13592.469727000005,165300.0
2008-02-01,13517.740234,13648.389647999995,13444.080078,13497.160156,13497.160156,142600.0
2008-02-04,13642.599609,13889.240234,13642.599609,13859.700195,13859.700195,138100.0
2008-02-05,13806.169922,13821.919922,13665.639647999995,13745.5,13745.5,133700.0
