Date,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
2008-01-04,-1.5299980000000062,-1.570007999999973,-3.540038999999979,-40.87988300000006,2.4394499999998516,5.489745999999286,-27.99023500000021,-2.300293000000238,515.3496089999971,-464.32031300000017,143.339996
2008-01-07,0.27000400000000013,-1.5299980000000062,-29.940063999999893,-56.93017599999985,-245.40917999999874,-111.68994099999964,-102.7099610000023,-27.5,216.95117099999698,-48.83007799999905,141.809998
2008-01-08,-2.990005999999994,0.27000400000000013,1.6400149999999485,-7.179931000000124,19.75,44.50976599999922,33.680176000002575,-33.89990200000011,-354.06054699999004,99.37011699999857,142.080002
2008-01-09,0.5899969999999826,-2.990005999999994,-25.45996100000002,-63.1198730000001,-230.69043000000056,-17.109863999999106,-5.270019999999931,-12.900390000000698,768.359375,234.45019499999762,139.089996
2008-01-10,1.1000060000000076,0.5899969999999826,16.530029000000013,8.270019000000502,142.9003900000007,9.140137000000323,-40.12011700000039,-100.20019599999978,-195.5605470000046,-158.20996099999502,139.679993
2008-01-11,0.38000499999998283,1.1000060000000076,13.130004999999983,19.73998999999958,117.6298799999986,-70.04980499999965,-81.65966799999933,-100.20019599999978,-568.5,-308.63964900000246,140.779999
2008-01-14,-1.3700110000000052,0.38000499999998283,-17.0,-0.9899899999995796,-236.95996000000014,-52.660156000000825,-24.910155999999915,-21.800293000000238,-550.9999999999964,-308.63964900000246,141.160004
2008-01-15,-2.42999199999997,-1.3700110000000052,8.969970999999987,-21.830078000000412,163.7197300000007,44.540039000000434,22.060059000000365,-132.80029300000024,-891.1503909999992,-162.2802730000003,139.78999299999998
2008-01-16,0.4499969999999962,-2.42999199999997,-34.46997099999999,-58.47998000000007,-300.69043000000056,-174.1499020000001,-178.12011800000073,-20.89990200000011,-680.2597659999992,-292.22070300000087,137.360001
2008-01-17,-3.069993000000011,0.4499969999999962,-2.619995000000017,15.179931000000124,-9.759759999999005,62.06982400000015,-31.62988199999927,-3.600097999999889,409.9003909999992,187.07031199999983,137.809998
